author,book,records
Айгиз Баймөхәмәтов,"Ҡалдырма, әсәй",1
Башҡорт халыҡ ижады,Урал батыр,7
Гөлнур Яҡупова,Ҡатындар,1
Зәйнәб Биишева,Кәмһетелгәндәр,1
Зәйнәб Биишева,Оло Эйек буйында,1
Мостай Кәрим,Ауыл адвокаттары,5
Мостай Кәрим,"Мөғжизәләр, Иблес йомошсоһо",1
Мостай Кәрим,Оҙон-оҙаҡ бала саҡ,6
Мостай Кәрим,Өс таған,6
Яныбай Хамматов,Аҡман-тоҡман,5
Ҡол Ғәли,Йософ ҡиссаһы,8
Һәҙиә Дәүләтшина,Айбикә,1
Һәҙиә Дәүләтшина,Ырғыҙ,5
