author,title,book_url,authors_names_on_site,language
Йыһат Солтанов,Мәңгелек курайыбыҙ,https://kitaptar.bashkort.org/book/286,Солтанов Йыһат,Башкирский
Йыһат Солтанов,НАчало начал.,https://kitaptar.bashkort.org/book/287,Солтанов Йыһат,Русский
Йыһат Солтанов,Салауат Юлаев шәжәрәһен тергеҙеү,https://kitaptar.bashkort.org/book/289,Солтанов Йыһат,
Йыһат Солтанов,Силәнгә - өргөн ырын яҙыуҙарабыҙ,https://kitaptar.bashkort.org/book/290,Солтанов Йыһат,Башкирский
Йыһат Солтанов,Шәжәрәләр,https://kitaptar.bashkort.org/book/291,Солтанов Йыһат,Башкирский
Йыһат Солтанов,Ырып яҙған ырындарыбыҙ,https://kitaptar.bashkort.org/book/292,Солтанов Йыһат,
Йыһат Солтанов,Ҡыу ҡарағас,https://kitaptar.bashkort.org/book/914,ЙЫҺАТ Солтанов,Башкирский
Йыһат Солтанов,Һарттар,https://kitaptar.bashkort.org/book/288,Солтанов Йыһат,Башкирский
Йыһат Солтанов,Һуңғы осрашыу,https://kitaptar.bashkort.org/book/907,Йыһат Солтанов,Башкирский
Йыһат Солтанов,"Әҫәрҙәр ун дүрт томда, ХII том. Заманалар. Башҡорт халҡына көҙгө",https://kitaptar.bashkort.org/book/716,Солтанов Йыһат,Башкирский
Лира Яҡшыбаева,ДӘЛӘӘ'ИЛҮЛ–ХАЙРААТ,https://kitaptar.bashkort.org/book/1471,Лира Яҡшыбаева,
Лира Яҡшыбаева,МӘҢГЕЛЕК  УРМАН,https://kitaptar.bashkort.org/book/546,Лира Якшыбаева,Башкирский
Лира Яҡшыбаева,МӘҢГЕЛЕК  УРМАН,https://kitaptar.bashkort.org/book/547,Лира Якшыбаева,Башкирский
Мостай Кәрим,,https://kitaptar.bashkort.org/book/1092,Мостай Кәрим,Башкирский
Мостай Кәрим,,https://kitaptar.bashkort.org/book/1091,Мостай Кәрим,Башкирский
Мостай Кәрим,,https://kitaptar.bashkort.org/book/1081,Мостай Карим,Башкирский
Мостай Кәрим,Беҙҙең өйҙөң йәме,https://kitaptar.bashkort.org/book/911,Мостай Кәрим,Русский
Мостай Кәрим,Мөхәббәттең дүрт миҙгеле. Шиғыр­ ҙар,https://kitaptar.bashkort.org/book/417,Кәрим Мостай ,Башкирский
Мостай Кәрим,Оҙон-оҙаҡ бала саҡ,https://kitaptar.bashkort.org/book/418,Мостай Карим,Башкирский
Мостай Кәрим,"Һайланма әҫәрҙәр, дүртенсе том",https://kitaptar.bashkort.org/book/912,Мостай Кәрим,Башкирский
Мостай Кәрим,Әҫәрҙәр 4 том,https://kitaptar.bashkort.org/book/1093,Мостай Кәрим,Башкирский
Мостай Кәрим,Әҫәрҙәр 4 том,https://kitaptar.bashkort.org/book/1094,Мостай Кәрим,Башкирский
Мостай Кәрим,Әҫәрҙәр 5 том,https://kitaptar.bashkort.org/book/915,Мостай Кәрим,Башкирский
Мостай Кәрим,Әҫәрҙәр. I том: шиғырҙар.,https://kitaptar.bashkort.org/book/407,Мостай Карим,Башкирский
Мостай Кәрим,"Әҫәрҙәр. II том: шиғырҙар, шиғри тәржемәләр",https://kitaptar.bashkort.org/book/408,Мостай Карим,Башкирский
Мостай Кәрим,"Әҫәрҙәр. III том: пьесалар, либретто",https://kitaptar.bashkort.org/book/416,Мостай Кәрим,Башкирский
Мостай Кәрим,Өс таған,https://kitaptar.bashkort.org/book/534,Мостай Карим,Башкирский
Мәжит Ғафури,,https://kitaptar.bashkort.org/book/1084,Мәжит Ғафури,
Мәжит Ғафури,Басни и стихи,https://kitaptar.bashkort.org/book/444,Мажит Гафури,Башкирский
Мәжит Ғафури,Батрак,https://kitaptar.bashkort.org/book/445,Мажит Гафури,Башкирский
Мәжит Ғафури,Беҙ бәләкәй саҡтарда,https://kitaptar.bashkort.org/book/442,Мәжит Ғафури,Башкирский
Мәжит Ғафури,Биобиблиографик күрһәткес,https://kitaptar.bashkort.org/book/173,Мәжит Ғафури,Башкирский
Мәжит Ғафури,Дракон,https://kitaptar.bashkort.org/book/446,Мажит Гафури,Башкирский
Мәжит Ғафури,Либретто,https://kitaptar.bashkort.org/book/443,Мәжит Ғафури,Башкирский
Мәжит Ғафури,"Мажит Гафури – первый народный поэт Башкортостана. мат. конф. - Уфа, 2018",https://kitaptar.bashkort.org/book/5136,Мажит Гафури,Русский
Мәжит Ғафури,“...КҮҘ ҺАЛАМЫН ХАЛҠЫМА”,https://kitaptar.bashkort.org/book/1234,Мажит Гафури,Башкирский
Мәрйәм Бураҡаева,The first step in Uygur,https://kitaptar.bashkort.org/book/1466, Мәрйәм Бураҡаева,Английский
Мәрйәм Бураҡаева,Арғымаҡ,https://kitaptar.bashkort.org/book/521,Бураҡаева М. С.,Башкирский
Мәрйәм Бураҡаева,Арғымаҡ,https://kitaptar.bashkort.org/book/5339,"Бураҡаева, Мәрйәм Сабирйән ҡыҙы",Башкирский
Мәрйәм Бураҡаева,"Буракаева М.С. Сочинения. Том 1. Повести (на башк. яз) - Уфа, Китап, 2018",https://kitaptar.bashkort.org/book/5033,"Бураҡаева, М. С.",Башкирский
Мәрйәм Бураҡаева,Сәк-Сәк менән Бауырһаҡ нисек тәмле ризыҡ әҙерләргә өйрәнде.,https://kitaptar.bashkort.org/book/897,Бураҡаева Мәрйәм ,Башкирский
Мәрйәм Күсмәева,Үҫтекәй,https://kitaptar.bashkort.org/book/528,Мәрйәм Күсмәева,Башкирский
Мәхмүт Хужин,Башҡорт халыҡ музыка сәнғәте. Эпик йырҙар һәм көйҙәр.,https://kitaptar.bashkort.org/book/643,Мәхмүт Хужин,Башкирский
Мөхтәр Сәғитов,Боронғо  башкорт  ҡобайырҙары,https://kitaptar.bashkort.org/book/117,Мөхтәр  Сәғитов,Башкирский
Мөхтәр Сәғитов,Боронғо башҡорт ҡобайырҙары,https://kitaptar.bashkort.org/book/269,Сәғитов Мөхтәр,Башкирский
Мөхтәр Сәғитов,Тезисы выступления  Президента Республики Башкортостан М.Г. Рахимова   на конференции БГУ 25 марта 2010 года,https://kitaptar.bashkort.org/book/827,Мөхтәр  Сәғитов,Башкирский
Мөхтәр Сәғитов,Урта быуаттарҙағы Башҡортостан тарихынан. Өфө. 2009,https://kitaptar.bashkort.org/book/1373,Сәғитов Мөхтәр,Башкирский
Нажиә Игеҙйәнова,Хаджи Морат,https://kitaptar.bashkort.org/book/1457,Нәжиә Игеҙйәнова,Башкирский
Нияз Алсынбаев,"Башҡорт халыҡ йырҙары, йыр-риүәйәттәре",https://kitaptar.bashkort.org/book/646,Алсынбаев Нияз,Башкирский
Нияз Алсынбаев,Зәбих Исҡужинды беләһеңме,https://kitaptar.bashkort.org/book/1455,Нияз Алсынбаев,Башкирский
Ноғман Мусин,Атайымдың өс һәнәге,https://kitaptar.bashkort.org/book/533,Ноғман Мусин,Башкирский
Ноғман Мусин,Башкорт шагыйре Гали Чокрыйнын варислары,https://kitaptar.bashkort.org/book/685,Мусин Ноғман,Татарский
Ноғман Мусин,Превратности судьбы,https://kitaptar.bashkort.org/book/450,Ногман Мусин,Русский
Ноғман Мусин,Хрестоматия по истории Башкортостана. Часть первая. Документы и материалы с древнейших времен до 1917 г,https://kitaptar.bashkort.org/book/551,НОҒМАН МУСИН,Русский
Ноғман Мусин,Һайланма әҫәрҙәр 9 том,https://kitaptar.bashkort.org/book/905,Ноғман Мусин,Башкирский
Рәйлә Сабитова,Артыҡбикә,https://kitaptar.bashkort.org/book/268,Рәйлә Сабитова ,Башкирский
Рәйлә Сабитова,История башкирских родов. Тазлар. Том 14,https://kitaptar.bashkort.org/book/1371,Рәйлә Сабитова ,Русский
Рәлис Ураҙғолов,Халыҡ шағиры — халыҡ хәтерендә,https://kitaptar.bashkort.org/book/1322,Рәлис Ураҙғолов,Башкирский
Рәлис Ураҙғолов,Халыҡ шағиры — халыҡ хәтерендә,https://kitaptar.bashkort.org/book/1321,Рәлис Ураҙғолов,Башкирский
Сабир Шәрипов,ДЮРТЮЛИНСКИЙ РАЙОН. Национальный состав населенных пунктов по итогам переписей XVIII-XX веков,https://kitaptar.bashkort.org/book/847,Шәрипов Сабир,Русский
Сабир Шәрипов,"Зәңгәр катер: роман, хикәйәләр һәм хикмәттәр.",https://kitaptar.bashkort.org/book/122,Шәрипов Сабир,Башкирский
Сабир Шәрипов,С песней идут солдаты,https://kitaptar.bashkort.org/book/123,Шәрипов Сабир,Русский
Сабир Шәрипов,ШАРАНСКИЙ РАЙОН. Национальный состав населенных пунктов по итогам переписей XVIII-XX веков,https://kitaptar.bashkort.org/book/841,Шәрипов Сабир,Русский
Сабир Шәрипов,Ҡарт менән диңгеҙ,https://kitaptar.bashkort.org/book/1462,Сабир Шәрипов,
Сабир Шәрипов,Ҡолонташ,https://kitaptar.bashkort.org/book/317,Сабир Шәрипов,Башкирский
Т.Ғиниәтуллин; Талха Ғиниәтуллин,Быҫҡаҡ ямғыр,https://kitaptar.bashkort.org/book/174,Ғиниәтуллин Талха,Башкирский
Т.Ғиниәтуллин; Талха Ғиниәтуллин,Сәк-Сәк менән  Бауырһак нисек  тәмле ризык әҙерләргә  өйрәнде,https://kitaptar.bashkort.org/book/1088,Ғиниәтуллин Талха,
Тамара Ғәниева,Путеводитель по Каповой пещере. Уфа. 1969,https://kitaptar.bashkort.org/book/1522,Тамара Гәниева,Русский
Таңсулпан Ғарипова,Бөйрәкәй,https://kitaptar.bashkort.org/book/1443,Таңсулпан Ғарипова,Русский
Таңсулпан Ғарипова,"Гарипова Т. X. Буренушка: роман-эпопея. — Уфа: Китап, 2009. — 696 с.",https://kitaptar.bashkort.org/book/5173,Гарипова Т. X.,Русский
Таңсулпан Ғарипова,Средневековые башкиры. Уфа. 2013,https://kitaptar.bashkort.org/book/1565,Тансулпан Гарипова,Русский
Таһир Таһиров,Ғәлиә,https://kitaptar.bashkort.org/book/114,Таһиров Таһир,Башкирский
Тимер Йосопов,АРАБСКИЕ  ИСТОЧНИКИ О ТЮРКАХ  В РАННЕЕ СРЕДНЕВЕКОВЬЕ,https://kitaptar.bashkort.org/book/1284,Тимер Йосопов,Русский
Тимер Йосопов,АРАБСКИЕ  ИСТОЧНИКИ О ТЮРКАХ  В РАННЕЕ СРЕДНЕВЕКОВЬЕ,https://kitaptar.bashkort.org/book/1283,Тимер Йосопов,Русский
Тимер Йосопов,Тимер Йосопов. 60 йәш,https://kitaptar.bashkort.org/book/230,Тимер Йосопов,Башкирский
Тимер Йосопов,Әсә.. ҡояш... ҡыр,https://kitaptar.bashkort.org/book/229,Тимер Йосопов,Башкирский
Тәскирә Даянова,Әкиәттәр,https://kitaptar.bashkort.org/book/641,Тәскирә Даянова,Башкирский
Флүр Ғазин,Сөкәк,https://kitaptar.bashkort.org/book/603,Флүр Газин,Башкирский
Флүр Ғазин,Эш алтында түгел,https://kitaptar.bashkort.org/book/30,Флүр Газин,Башкирский
Флүр Ғазин,Эш алтында түгел: Хикәйәләр.,https://kitaptar.bashkort.org/book/158,Газин Ф. С.,Башкирский
Фәниҙә Исхаҡова,Гайнинский говор,https://kitaptar.bashkort.org/book/876,Фәниҙә ИСХАҠОВА,Русский
Фәниҙә Исхаҡова,Северо-западный диалект башкирского языка,https://kitaptar.bashkort.org/book/1412,Фәниҙә ИСХАҠОВА,Русский
Фәниҙә Исхаҡова,Тамырҙарыбыҙ - тәрәндә,https://kitaptar.bashkort.org/book/1411,Фәниҙә Исхаҡова,Башкирский
Фәниҙә Исхаҡова,Төньяҡ-көнбайыш башҡорттарының балаларын башҡорт телендә уҡытыу мәсьәләһенә ҡарата,https://kitaptar.bashkort.org/book/875,Фәниҙә ИСХАҠОВА,Башкирский
